organism_pattern,organism_group,notes
staphylococcus aureus,Staphylococcus aureus,Separate MSSA/MRSA later if susceptibility data are available
coagulase negative staphylococcus,Coagulase-negative Staphylococcus,
enterococcus,Enterococcus,
escherichia coli,Escherichia coli,
klebsiella,Klebsiella,
pseudomonas,Pseudomonas,
candida,Candida,
